service_id,date,exception_type
000001,20181103,1
000001,20181104,1
000001,20181110,1
000001,20181111,1
000001,20181117,1
000001,20181124,1
000001,20181125,1
000001,20181201,1
000001,20181202,1
000001,20181208,1
000002,20181118,1
000003,20181103,1
000003,20181104,1
000003,20181110,1
000003,20181111,1
000003,20181117,1
000003,20181118,1
000003,20181124,1
000003,20181125,1
000003,20181201,1
000003,20181202,1
000003,20181208,1
000004,20181103,1
000004,20181104,1
000004,20181117,1
000004,20181118,1
000004,20181124,1
000004,20181125,1
000004,20181201,1
000004,20181202,1
000004,20181208,1
000005,20181110,1
000005,20181111,1
000006,20181105,1
000006,20181106,1
000006,20181107,1
000006,20181108,1
000006,20181109,1
000006,20181112,1
000006,20181113,1
000006,20181114,1
000006,20181115,1
000006,20181116,1
000006,20181119,1
000006,20181120,1
000006,20181121,1
000006,20181122,1
000006,20181123,1
000006,20181126,1
000006,20181127,1
000006,20181128,1
000006,20181129,1
000006,20181130,1
000006,20181203,1
000006,20181204,1
000006,20181205,1
000006,20181206,1
000006,20181207,1
000007,20181124,1
000007,20181125,1
000007,20181201,1
000007,20181202,1
000007,20181208,1
000008,20181102,1
000009,20181103,1
000009,20181104,1
000010,20181103,1
000010,20181104,1
000010,20181110,1
000010,20181111,1
000010,20181117,1
000010,20181118,1
000011,20181102,1
000011,20181105,1
000011,20181106,1
000011,20181107,1
000011,20181108,1
000011,20181109,1
000011,20181112,1
000011,20181113,1
000011,20181114,1
000011,20181115,1
000011,20181116,1
000011,20181119,1
000011,20181120,1
000011,20181121,1
000011,20181122,1
000011,20181123,1
000011,20181126,1
000011,20181127,1
000011,20181128,1
000011,20181129,1
000011,20181130,1
000011,20181203,1
000011,20181204,1
000011,20181205,1
000011,20181206,1
000011,20181207,1
000012,20181103,1
000012,20181104,1
000012,20181124,1
000012,20181125,1
000012,20181201,1
000012,20181202,1
000012,20181208,1
000013,20181102,1
000013,20181103,1
000013,20181104,1
000013,20181110,1
000013,20181111,1
000013,20181117,1
000013,20181118,1
000013,20181124,1
000013,20181125,1
000013,20181201,1
000013,20181202,1
000013,20181208,1
000015,20181117,1
000015,20181118,1
000016,20181201,1
000016,20181202,1
000017,20181111,1
000017,20181118,1
000017,20181125,1
000018,20181110,1
000018,20181111,1
000018,20181117,1
000018,20181118,1
000018,20181124,1
000018,20181125,1
000019,20181124,1
000019,20181125,1
000019,20181201,1
000019,20181202,1
000020,20181110,1
000020,20181111,1
000020,20181117,1
000020,20181118,1
000021,20181120,1
000021,20181122,1
000022,20181102,1
000022,20181103,1
000022,20181104,1
000023,20181102,1
000023,20181103,1
000023,20181104,1
000023,20181105,1
000023,20181106,1
000023,20181107,1
000023,20181108,1
000023,20181109,1
000023,20181110,1
000023,20181111,1
000023,20181112,1
000023,20181113,1
000023,20181114,1
000023,20181115,1
000023,20181116,1
000023,20181118,1
000023,20181119,1
000023,20181120,1
000023,20181121,1
000023,20181122,1
000023,20181123,1
000023,20181124,1
000023,20181125,1
000023,20181126,1
000023,20181127,1
000023,20181128,1
000023,20181129,1
000023,20181130,1
000023,20181202,1
000023,20181203,1
000023,20181204,1
000023,20181205,1
000023,20181206,1
000023,20181207,1
000023,20181208,1
000024,20181117,1
000024,20181201,1
000025,20181105,1
000025,20181106,1
000025,20181107,1
000025,20181108,1
000025,20181109,1
000025,20181112,1
000025,20181113,1
000025,20181114,1
000025,20181115,1
000025,20181116,1
000025,20181119,1
000025,20181120,1
000025,20181121,1
000025,20181122,1
000025,20181123,1
000025,20181126,1
000025,20181127,1
000025,20181128,1
000025,20181129,1
000025,20181130,1
000026,20181117,1
000026,20181118,1
000026,20181201,1
000026,20181202,1
000027,20181104,1
000028,20181117,1
000028,20181118,1
000028,20181124,1
000028,20181125,1
000028,20181201,1
000028,20181202,1
000029,20181103,1
000029,20181106,1
000029,20181107,1
000029,20181108,1
000029,20181109,1
000029,20181110,1
000029,20181113,1
000029,20181114,1
000029,20181115,1
000029,20181116,1
000029,20181117,1
000030,20181125,1
000030,20181202,1
000031,20181110,1
000032,20181102,1
000032,20181103,1
000032,20181104,1
000032,20181121,1
000032,20181122,1
000032,20181123,1
000032,20181124,1
000032,20181125,1
000032,20181126,1
000032,20181127,1
000032,20181128,1
000032,20181129,1
000032,20181130,1
000032,20181201,1
000032,20181202,1
000032,20181203,1
000032,20181204,1
000032,20181205,1
000032,20181206,1
000032,20181207,1
000032,20181208,1
000033,20181105,1
000033,20181106,1
000033,20181107,1
000033,20181108,1
000033,20181109,1
000033,20181110,1
000033,20181111,1
000033,20181112,1
000033,20181113,1
000033,20181114,1
000033,20181115,1
000033,20181116,1
000033,20181117,1
000033,20181118,1
000033,20181119,1
000033,20181120,1
000034,20181102,1
000034,20181103,1
000034,20181106,1
000034,20181107,1
000034,20181108,1
000034,20181109,1
000034,20181110,1
000034,20181127,1
000034,20181128,1
000034,20181129,1
000034,20181130,1
000035,20181124,1
000035,20181201,1
000035,20181208,1
000036,20181105,1
000036,20181106,1
000036,20181107,1
000036,20181108,1
000036,20181126,1
000036,20181127,1
000036,20181128,1
000036,20181129,1
000037,20181106,1
000037,20181107,1
000037,20181108,1
000037,20181109,1
000038,20181102,1
000038,20181127,1
000038,20181128,1
000038,20181129,1
000038,20181130,1
000039,20181103,1
000039,20181104,1
000039,20181110,1
000039,20181111,1
000039,20181117,1
000039,20181118,1
000039,20181201,1
000039,20181202,1
000040,20181122,1
000041,20181104,1
000041,20181105,1
000041,20181111,1
000041,20181112,1
000041,20181118,1
000041,20181119,1
000041,20181202,1
000041,20181203,1
000042,20181105,1
000042,20181106,1
000042,20181107,1
000042,20181108,1
000042,20181109,1
000042,20181112,1
000042,20181113,1
000042,20181114,1
000042,20181115,1
000042,20181116,1
000042,20181119,1
000042,20181120,1
000042,20181121,1
000042,20181122,1
000042,20181123,1
000042,20181124,1
000042,20181125,1
000042,20181126,1
000042,20181127,1
000042,20181128,1
000042,20181129,1
000042,20181130,1
000042,20181201,1
000042,20181202,1
000042,20181203,1
000042,20181204,1
000042,20181205,1
000042,20181206,1
000042,20181207,1
000042,20181208,1
000043,20181102,1
000043,20181103,1
000043,20181104,1
000043,20181105,1
000043,20181106,1
000043,20181107,1
000043,20181108,1
000043,20181109,1
000043,20181112,1
000043,20181113,1
000043,20181114,1
000043,20181115,1
000043,20181116,1
000043,20181119,1
000043,20181120,1
000043,20181121,1
000043,20181122,1
000043,20181123,1
000043,20181124,1
000043,20181125,1
000043,20181126,1
000043,20181127,1
000043,20181128,1
000043,20181129,1
000043,20181130,1
000043,20181201,1
000043,20181202,1
000043,20181203,1
000043,20181204,1
000043,20181205,1
000043,20181206,1
000043,20181207,1
000043,20181208,1
000044,20181104,1
000044,20181111,1
000044,20181118,1
000044,20181125,1
000044,20181202,1
000045,20181102,1
000045,20181103,1
000046,20181105,1
000046,20181106,1
000046,20181107,1
000046,20181108,1
000046,20181109,1
000046,20181112,1
000046,20181113,1
000046,20181114,1
000046,20181115,1
000046,20181116,1
000046,20181119,1
000046,20181121,1
000046,20181123,1
